<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
DSKY;D;20170818;00:00:00;92.9000000;76580
DSKY;D;20170821;00:00:00;92.0500000;97220
DSKY;D;20170822;00:00:00;93.4000000;115990
DSKY;D;20170823;00:00:00;93.3000000;57190
DSKY;D;20170824;00:00:00;94.0000000;61870
DSKY;D;20170825;00:00:00;96.9000000;76860
DSKY;D;20170828;00:00:00;99.0000000;141910
DSKY;D;20170829;00:00:00;98.9500000;106120
DSKY;D;20170830;00:00:00;98.2500000;60620
DSKY;D;20170831;00:00:00;99.9000000;70240
DSKY;D;20170901;00:00:00;99.5000000;65830
DSKY;D;20170904;00:00:00;98.1000000;103600
DSKY;D;20170905;00:00:00;96.5000000;118690
DSKY;D;20170906;00:00:00;95.5000000;236460
DSKY;D;20170907;00:00:00;96.6000000;67150
DSKY;D;20170908;00:00:00;97.2500000;88090
DSKY;D;20170911;00:00:00;99.1500000;543310
DSKY;D;20170912;00:00:00;101.0000000;99730
DSKY;D;20170913;00:00:00;101.0500000;139740
DSKY;D;20170914;00:00:00;99.1000000;144030
DSKY;D;20170915;00:00:00;97.8500000;119740
DSKY;D;20170918;00:00:00;99.6000000;116120
DSKY;D;20170919;00:00:00;102.4000000;529970
DSKY;D;20170920;00:00:00;100.6000000;94360
DSKY;D;20170921;00:00:00;101.8500000;46260
DSKY;D;20170922;00:00:00;101.6000000;148360
DSKY;D;20170925;00:00:00;102.7000000;429530
DSKY;D;20170926;00:00:00;103.2500000;445860
DSKY;D;20170927;00:00:00;104.3000000;375830
DSKY;D;20170928;00:00:00;103.2000000;431740
DSKY;D;20170929;00:00:00;102.7000000;316090
DSKY;D;20171002;00:00:00;102.6000000;194740
DSKY;D;20171003;00:00:00;101.5000000;36890
DSKY;D;20171004;00:00:00;101.1000000;120160
DSKY;D;20171005;00:00:00;101.5000000;258940
DSKY;D;20171006;00:00:00;101.5000000;19710
DSKY;D;20171009;00:00:00;102.5000000;17690
DSKY;D;20171010;00:00:00;102.5000000;68120
DSKY;D;20171011;00:00:00;101.4000000;20470
DSKY;D;20171012;00:00:00;101.8000000;10420
DSKY;D;20171013;00:00:00;100.5500000;166250
DSKY;D;20171016;00:00:00;100.6500000;51150
DSKY;D;20171017;00:00:00;99.7500000;45760
DSKY;D;20171018;00:00:00;100.1500000;92490
DSKY;D;20171019;00:00:00;100.1500000;28660
DSKY;D;20171020;00:00:00;100.6500000;30850
