<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
POLY;D;20150423;00:00:00;422.5000000;16608
POLY;D;20150424;00:00:00;429.0000000;14358
POLY;D;20150505;00:00:00;419.0000000;39175
POLY;D;20150506;00:00:00;424.5000000;39697
POLY;D;20150507;00:00:00;420.0000000;46647
POLY;D;20150508;00:00:00;445.5000000;134474
POLY;D;20150512;00:00:00;438.5000000;63151
POLY;D;20150513;00:00:00;438.0000000;25472
POLY;D;20150514;00:00:00;441.0000000;29108
POLY;D;20150515;00:00:00;432.5000000;40417
POLY;D;20150518;00:00:00;433.5000000;19844
POLY;D;20150519;00:00:00;421.5000000;18461
POLY;D;20150520;00:00:00;435.0000000;31437
POLY;D;20150521;00:00:00;437.0000000;60358
POLY;D;20150522;00:00:00;433.0000000;12522
POLY;D;20150525;00:00:00;430.0000000;1811
POLY;D;20150526;00:00:00;433.0000000;7711
POLY;D;20150527;00:00:00;438.0000000;53467
POLY;D;20150528;00:00:00;453.5000000;57693
POLY;D;20150529;00:00:00;438.5000000;41999
POLY;D;20150601;00:00:00;447.0000000;32448
POLY;D;20150602;00:00:00;456.0000000;19811
POLY;D;20150603;00:00:00;451.5000000;36591
POLY;D;20150604;00:00:00;455.5000000;32986
POLY;D;20150605;00:00:00;460.5000000;21126
POLY;D;20150608;00:00:00;457.0000000;16139
POLY;D;20150609;00:00:00;453.0000000;10562
POLY;D;20150610;00:00:00;449.0000000;10259
POLY;D;20150611;00:00:00;458.0000000;6063
POLY;D;20150615;00:00:00;466.0000000;18975
POLY;D;20150616;00:00:00;459.0000000;4968
POLY;D;20150617;00:00:00;463.0000000;9970
POLY;D;20150618;00:00:00;479.0000000;26665
POLY;D;20150619;00:00:00;482.0000000;21441
POLY;D;20150622;00:00:00;470.0000000;16084
POLY;D;20150623;00:00:00;461.5000000;14219
POLY;D;20150624;00:00:00;467.0000000;6887
POLY;D;20150625;00:00:00;456.0000000;8916
POLY;D;20150626;00:00:00;464.0000000;4922
POLY;D;20150629;00:00:00;458.0000000;8492
POLY;D;20150630;00:00:00;453.0000000;14027
POLY;D;20150701;00:00:00;445.5000000;23918
POLY;D;20150702;00:00:00;445.0000000;6197
POLY;D;20150703;00:00:00;451.0000000;7691
POLY;D;20150706;00:00:00;451.0000000;8637
POLY;D;20150707;00:00:00;431.5000000;14658
POLY;D;20150708;00:00:00;429.5000000;15646
POLY;D;20150709;00:00:00;439.0000000;73190
POLY;D;20150710;00:00:00;436.0000000;11822
POLY;D;20150713;00:00:00;441.5000000;12631
POLY;D;20150714;00:00:00;444.0000000;14235
POLY;D;20150715;00:00:00;442.0000000;26884
POLY;D;20150716;00:00:00;443.0000000;12161
POLY;D;20150717;00:00:00;428.0000000;45770
POLY;D;20150720;00:00:00;425.5000000;33452
POLY;D;20150721;00:00:00;423.0000000;23824
POLY;D;20150722;00:00:00;425.5000000;15450
POLY;D;20150723;00:00:00;425.5000000;47387
POLY;D;20150724;00:00:00;410.0000000;25870
POLY;D;20150727;00:00:00;410.5000000;15113
POLY;D;20150728;00:00:00;429.0000000;84906
POLY;D;20150729;00:00:00;416.0000000;31253
POLY;D;20150730;00:00:00;425.0000000;43364
POLY;D;20150731;00:00:00;434.5000000;59544
POLY;D;20150803;00:00:00;426.0000000;23698
POLY;D;20150804;00:00:00;423.5000000;35855
POLY;D;20150805;00:00:00;427.0000000;28155
POLY;D;20150806;00:00:00;432.0000000;17125
POLY;D;20150807;00:00:00;434.0000000;21811
POLY;D;20150810;00:00:00;457.0000000;130479
POLY;D;20150811;00:00:00;458.5000000;87459
POLY;D;20150812;00:00:00;448.5000000;100258
POLY;D;20150813;00:00:00;460.0000000;60896
POLY;D;20150814;00:00:00;462.0000000;27326
POLY;D;20150817;00:00:00;468.5000000;28516
POLY;D;20150818;00:00:00;482.0000000;48889
POLY;D;20150819;00:00:00;464.5000000;42911
POLY;D;20150820;00:00:00;494.5000000;140722
POLY;D;20150821;00:00:00;524.5000000;199287
POLY;D;20150824;00:00:00;528.0000000;129270
POLY;D;20150825;00:00:00;497.0000000;99315
POLY;D;20150826;00:00:00;496.5000000;76992
POLY;D;20150827;00:00:00;483.0000000;66208
POLY;D;20150828;00:00:00;489.0000000;68977
POLY;D;20150831;00:00:00;491.5000000;11022
POLY;D;20150901;00:00:00;489.0000000;47767
POLY;D;20150902;00:00:00;488.0000000;38209
POLY;D;20150903;00:00:00;494.0000000;57175
POLY;D;20150904;00:00:00;479.0000000;24756
POLY;D;20150907;00:00:00;491.5000000;15708
POLY;D;20150908;00:00:00;495.5000000;27220
POLY;D;20150909;00:00:00;519.5000000;85398
POLY;D;20150910;00:00:00;549.0000000;197989
POLY;D;20150911;00:00:00;544.5000000;74118
POLY;D;20150914;00:00:00;549.0000000;81706
POLY;D;20150915;00:00:00;560.0000000;44729
POLY;D;20150916;00:00:00;565.0000000;42636
POLY;D;20150917;00:00:00;561.0000000;25107
POLY;D;20150918;00:00:00;557.5000000;37543
POLY;D;20150921;00:00:00;546.5000000;23702
POLY;D;20150922;00:00:00;553.0000000;20607
POLY;D;20150923;00:00:00;557.0000000;26610
POLY;D;20150924;00:00:00;560.5000000;37830
POLY;D;20150925;00:00:00;545.0000000;23981
POLY;D;20150928;00:00:00;547.0000000;21460
POLY;D;20150929;00:00:00;556.5000000;22992
POLY;D;20150930;00:00:00;566.0000000;17025
POLY;D;20151001;00:00:00;571.0000000;22305
POLY;D;20151002;00:00:00;585.0000000;27158
POLY;D;20151005;00:00:00;578.5000000;23256
POLY;D;20151006;00:00:00;579.0000000;38426
POLY;D;20151007;00:00:00;559.5000000;24017
POLY;D;20151008;00:00:00;559.0000000;35317
POLY;D;20151009;00:00:00;554.0000000;4515
POLY;D;20151012;00:00:00;556.5000000;9096
POLY;D;20151013;00:00:00;565.0000000;12887
POLY;D;20151014;00:00:00;577.0000000;22738
POLY;D;20151015;00:00:00;571.5000000;17742
POLY;D;20151016;00:00:00;565.5000000;14505
POLY;D;20151019;00:00:00;565.0000000;10971
POLY;D;20151020;00:00:00;570.5000000;12981
POLY;D;20151021;00:00:00;563.0000000;11104
POLY;D;20151022;00:00:00;564.5000000;38470
POLY;D;20151023;00:00:00;569.0000000;36836
POLY;D;20151026;00:00:00;555.0000000;14755
POLY;D;20151027;00:00:00;568.5000000;17888
POLY;D;20151028;00:00:00;567.0000000;11780
POLY;D;20151029;00:00:00;563.5000000;11204
POLY;D;20151030;00:00:00;565.5000000;6790
POLY;D;20151102;00:00:00;565.0000000;6384
POLY;D;20151103;00:00:00;556.0000000;22454
POLY;D;20151105;00:00:00;560.5000000;19876
POLY;D;20151106;00:00:00;548.5000000;25246
POLY;D;20151109;00:00:00;555.0000000;12163
POLY;D;20151110;00:00:00;564.0000000;19586
POLY;D;20151111;00:00:00;561.0000000;13617
POLY;D;20151112;00:00:00;555.0000000;20915
POLY;D;20151113;00:00:00;555.0000000;18808
POLY;D;20151116;00:00:00;561.5000000;33034
POLY;D;20151117;00:00:00;551.5000000;28265
POLY;D;20151118;00:00:00;569.0000000;32842
POLY;D;20151119;00:00:00;560.5000000;24739
POLY;D;20151120;00:00:00;549.0000000;48731
POLY;D;20151123;00:00:00;552.0000000;37169
POLY;D;20151124;00:00:00;545.0000000;36313
POLY;D;20151125;00:00:00;540.0000000;17006
POLY;D;20151126;00:00:00;553.0000000;7187
POLY;D;20151127;00:00:00;536.0000000;17854
POLY;D;20151130;00:00:00;535.5000000;13458
POLY;D;20151201;00:00:00;529.5000000;9005
POLY;D;20151202;00:00:00;531.5000000;12414
POLY;D;20151203;00:00:00;538.0000000;32370
POLY;D;20151204;00:00:00;537.5000000;26548
POLY;D;20151207;00:00:00;549.0000000;35198
POLY;D;20151208;00:00:00;530.0000000;57187
POLY;D;20151209;00:00:00;559.0000000;50721
POLY;D;20151210;00:00:00;556.0000000;38634
POLY;D;20151211;00:00:00;544.5000000;23388
POLY;D;20151214;00:00:00;574.0000000;48487
POLY;D;20151215;00:00:00;573.5000000;22151
POLY;D;20151216;00:00:00;574.5000000;19014
POLY;D;20151217;00:00:00;569.0000000;16740
POLY;D;20151218;00:00:00;536.5000000;26257
POLY;D;20151221;00:00:00;574.0000000;32565
POLY;D;20151222;00:00:00;571.5000000;22989
POLY;D;20151223;00:00:00;596.5000000;61676
POLY;D;20151224;00:00:00;590.5000000;24537
POLY;D;20151225;00:00:00;591.5000000;2376
POLY;D;20151228;00:00:00;590.0000000;4949
POLY;D;20151229;00:00:00;622.0000000;31467
POLY;D;20151230;00:00:00;618.0000000;13715
POLY;D;20160104;00:00:00;613.5000000;1875
POLY;D;20160105;00:00:00;621.5000000;4779
POLY;D;20160106;00:00:00;626.0000000;6711
POLY;D;20160111;00:00:00;631.0000000;17880
