<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
LKOH;D;20151027;00:00:00;2350.6000000;1620197
LKOH;D;20151028;00:00:00;2357.0000000;1032541
LKOH;D;20151029;00:00:00;2341.5000000;869734
LKOH;D;20151030;00:00:00;2320.0000000;816181
LKOH;D;20151102;00:00:00;2412.0000000;1377138
LKOH;D;20151103;00:00:00;2483.9000000;1676020
LKOH;D;20151105;00:00:00;2489.6000000;1714231
LKOH;D;20151106;00:00:00;2511.8000000;1572279
LKOH;D;20151109;00:00:00;2530.0000000;825852
LKOH;D;20151110;00:00:00;2520.0000000;868525
LKOH;D;20151111;00:00:00;2548.0000000;952649
LKOH;D;20151112;00:00:00;2555.0000000;802211
LKOH;D;20151113;00:00:00;2485.0000000;1263307
LKOH;D;20151116;00:00:00;2476.0000000;870324
LKOH;D;20151117;00:00:00;2524.5000000;1237775
LKOH;D;20151118;00:00:00;2526.0000000;1232105
LKOH;D;20151119;00:00:00;2534.0000000;1303656
LKOH;D;20151120;00:00:00;2540.0000000;700838
LKOH;D;20151123;00:00:00;2652.8000000;1773811
LKOH;D;20151124;00:00:00;2576.9000000;1816499
LKOH;D;20151125;00:00:00;2606.9000000;940933
LKOH;D;20151126;00:00:00;2598.6000000;791399
LKOH;D;20151127;00:00:00;2539.4000000;1297809
LKOH;D;20151130;00:00:00;2534.1000000;1166565
LKOH;D;20151201;00:00:00;2559.0000000;651149
LKOH;D;20151202;00:00:00;2535.4000000;608416
LKOH;D;20151203;00:00:00;2559.0000000;668198
LKOH;D;20151204;00:00:00;2489.9000000;1429316
LKOH;D;20151207;00:00:00;2410.0000000;1135126
LKOH;D;20151208;00:00:00;2377.9000000;1101108
LKOH;D;20151209;00:00:00;2385.1000000;930585
LKOH;D;20151210;00:00:00;2445.0000000;1071635
LKOH;D;20151211;00:00:00;2450.0000000;691879
LKOH;D;20151214;00:00:00;2432.8000000;954753
LKOH;D;20151215;00:00:00;2446.8000000;1052147
LKOH;D;20151216;00:00:00;2415.0000000;1080527
LKOH;D;20151217;00:00:00;2427.0000000;1227085
LKOH;D;20151218;00:00:00;2327.1000000;1366749
LKOH;D;20151221;00:00:00;2338.7000000;659179
LKOH;D;20151222;00:00:00;2327.0000000;1036559
LKOH;D;20151223;00:00:00;2317.0000000;1036892
